ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2018M01,4655.544,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_ADV,2018M01,1808.164,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_TOTAL,2018M01,2029.439,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_BAS,2018M01,77.046,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_INT,2018M01,1710.243,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_Y15-24,EDU_AGGREGATE_ADV,2018M01,242.151,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_YGE25,EDU_AGGREGATE_TOTAL,2018M01,5159.482,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_YGE25,EDU_AGGREGATE_LTB,2018M01,,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_YGE25,EDU_AGGREGATE_BAS,2018M01,328.59,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_YGE25,EDU_AGGREGATE_INT,2018M01,3127.746,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_YTHADULT_YGE25,EDU_AGGREGATE_ADV,2018M01,1699.396,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_YGE15,EDU_AGGREGATE_TOTAL,2018M01,4078.73,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_YGE15,EDU_AGGREGATE_LTB,2018M01,,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_YGE15,EDU_AGGREGATE_BAS,2018M01,266.601,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_YGE15,EDU_AGGREGATE_INT,2018M01,2805.194,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_YGE15,EDU_AGGREGATE_ADV,2018M01,1006.936,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_TOTAL,2018M01,3878.124,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_BAS,2018M01,246.682,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_YTHADULT_Y15-64,EDU_AGGREGATE_INT,2018M01,2705.2,,C6:1058,I12:422,R1:3513_T2:85
