Country Sex Age Education Year Month "Value in thousands"
USA M AGE_AGGREGATE_Y15-24 Total 2018 M03 1023.141
USA M AGE_AGGREGATE_Y15-24 LTB 2018 M03 0
USA M AGE_AGGREGATE_Y15-24 BAS 2018 M03 60.471
USA M AGE_AGGREGATE_Y15-24 INT 2018 M03 865.555
USA M AGE_AGGREGATE_Y15-24 ADV 2018 M03 96.631
USA M AGE_AGGREGATE_Y25-54 Total 2018 M03 2065.481
USA M AGE_AGGREGATE_Y25-54 BAS 2018 M03 137.719
USA M AGE_AGGREGATE_Y25-54 INT 2018 M03 1324.266
USA M AGE_AGGREGATE_Y25-54 ADV 2018 M03 603.496
USA M AGE_AGGREGATE_Y55-64 Total 2018 M03 522.348
USA M AGE_AGGREGATE_Y55-64 BAS 2018 M03 35.828
USA M AGE_AGGREGATE_Y55-64 INT 2018 M03 313.635
USA M AGE_AGGREGATE_Y55-64 ADV 2018 M03 172.885
USA M AGE_AGGREGATE_YGE65 Total 2018 M03 162.201
USA M AGE_AGGREGATE_YGE65 BAS 2018 M03 18.447
USA M AGE_AGGREGATE_YGE65 INT 2018 M03 75.345
USA M AGE_AGGREGATE_YGE65 ADV 2018 M03 68.409
USA F AGE_AGGREGATE_TOTAL Total 2018 M03 2897.995
USA F AGE_AGGREGATE_TOTAL LTB 2018 M03 0
USA F AGE_AGGREGATE_TOTAL BAS 2018 M03 164.134
USA F AGE_AGGREGATE_TOTAL INT 2018 M03 1800.402
USA F AGE_AGGREGATE_TOTAL ADV 2018 M03 933.459
USA F AGE_AGGREGATE_Y15-24 Total 2018 M03 681.989
USA F AGE_AGGREGATE_Y15-24 LTB 2018 M03 0
USA F AGE_AGGREGATE_Y15-24 BAS 2018 M03 49.461
USA F AGE_AGGREGATE_Y15-24 INT 2018 M03 547.769
USA F AGE_AGGREGATE_Y15-24 ADV 2018 M03 84.759
USA F AGE_AGGREGATE_Y25-54 Total 2018 M03 1659.273
USA F AGE_AGGREGATE_Y25-54 BAS 2018 M03 79.576
USA F AGE_AGGREGATE_Y25-54 INT 2018 M03 965.544
USA F AGE_AGGREGATE_Y25-54 ADV 2018 M03 614.153
USA F AGE_AGGREGATE_Y55-64 Total 2018 M03 381.654
USA F AGE_AGGREGATE_Y55-64 BAS 2018 M03 27.837
USA F AGE_AGGREGATE_Y55-64 INT 2018 M03 192.863
USA F AGE_AGGREGATE_Y55-64 ADV 2018 M03 160.953
USA F AGE_AGGREGATE_YGE65 Total 2018 M03 175.08
USA F AGE_AGGREGATE_YGE65 BAS 2018 M03 0
USA F AGE_AGGREGATE_YGE65 INT 2018 M03 94.225
USA F AGE_AGGREGATE_YGE65 ADV 2018 M03 73.594
USA T AGE_YTHADULT_YGE15 Total 2018 M03 6671.167
USA T AGE_YTHADULT_YGE15 LTB 2018 M03 0
USA T AGE_YTHADULT_YGE15 BAS 2018 M03 416.6
USA T AGE_YTHADULT_YGE15 INT 2018 M03 4379.203
USA T AGE_YTHADULT_YGE15 ADV 2018 M03 1874.88
USA T AGE_YTHADULT_Y15-64 Total 2018 M03 6333.886
USA T AGE_YTHADULT_Y15-64 BAS 2018 M03 390.893
USA T AGE_YTHADULT_Y15-64 INT 2018 M03 4209.633
USA T AGE_YTHADULT_Y15-64 ADV 2018 M03 1732.877
USA T AGE_YTHADULT_Y15-24 Total 2018 M03 1705.13
USA T AGE_YTHADULT_Y15-24 LTB 2018 M03 0
USA T AGE_YTHADULT_Y15-24 BAS 2018 M03 109.932
USA T AGE_YTHADULT_Y15-24 INT 2018 M03 1413.324
USA T AGE_YTHADULT_Y15-24 ADV 2018 M03 181.39
USA T AGE_YTHADULT_YGE25 Total 2018 M03 4966.037
USA T AGE_YTHADULT_YGE25 BAS 2018 M03 306.668
USA T AGE_YTHADULT_YGE25 INT 2018 M03 2965.879
USA T AGE_YTHADULT_YGE25 ADV 2018 M03 1693.49
USA M AGE_YTHADULT_YGE15 Total 2018 M03 3773.172
USA M AGE_YTHADULT_YGE15 LTB 2018 M03 0
USA M AGE_YTHADULT_YGE15 BAS 2018 M03 252.466
USA M AGE_YTHADULT_YGE15 INT 2018 M03 2578.801
USA M AGE_YTHADULT_YGE15 ADV 2018 M03 941.421
USA M AGE_YTHADULT_Y15-64 Total 2018 M03 3610.971
USA M AGE_YTHADULT_Y15-64 BAS 2018 M03 234.019
USA M AGE_YTHADULT_Y15-64 INT 2018 M03 2503.456
USA M AGE_YTHADULT_Y15-64 ADV 2018 M03 873.012
USA M AGE_YTHADULT_Y15-24 Total 2018 M03 1023.141
USA M AGE_YTHADULT_Y15-24 LTB 2018 M03 0
USA M AGE_YTHADULT_Y15-24 BAS 2018 M03 60.471
USA M AGE_YTHADULT_Y15-24 INT 2018 M03 865.555
USA M AGE_YTHADULT_Y15-24 ADV 2018 M03 96.631
USA M AGE_YTHADULT_YGE25 Total 2018 M03 2750.031
USA M AGE_YTHADULT_YGE25 BAS 2018 M03 191.995
USA M AGE_YTHADULT_YGE25 INT 2018 M03 1713.246
USA M AGE_YTHADULT_YGE25 ADV 2018 M03 844.79
USA F AGE_YTHADULT_YGE15 Total 2018 M03 2897.995
USA F AGE_YTHADULT_YGE15 LTB 2018 M03 0
USA F AGE_YTHADULT_YGE15 BAS 2018 M03 164.134
USA F AGE_YTHADULT_YGE15 INT 2018 M03 1800.402
USA F AGE_YTHADULT_YGE15 ADV 2018 M03 933.459
USA F AGE_YTHADULT_Y15-64 Total 2018 M03 2722.915
USA F AGE_YTHADULT_Y15-64 BAS 2018 M03 156.874
USA F AGE_YTHADULT_Y15-64 INT 2018 M03 1706.177
USA F AGE_YTHADULT_Y15-64 ADV 2018 M03 859.865
USA F AGE_YTHADULT_Y15-24 Total 2018 M03 681.989
USA F AGE_YTHADULT_Y15-24 LTB 2018 M03 0
USA F AGE_YTHADULT_Y15-24 BAS 2018 M03 49.461
USA F AGE_YTHADULT_Y15-24 INT 2018 M03 547.769
USA F AGE_YTHADULT_Y15-24 ADV 2018 M03 84.759
USA F AGE_YTHADULT_YGE25 Total 2018 M03 2216.006
USA F AGE_YTHADULT_YGE25 BAS 2018 M03 114.673
USA F AGE_YTHADULT_YGE25 INT 2018 M03 1252.633
USA F AGE_YTHADULT_YGE25 ADV 2018 M03 848.7
USA T AGE_AGGREGATE_TOTAL Total 2018 M04 5931.588
USA T AGE_AGGREGATE_TOTAL LTB 2018 M04 0
USA T AGE_AGGREGATE_TOTAL BAS 2018 M04 330.909
USA T AGE_AGGREGATE_TOTAL INT 2018 M04 3915.783
USA T AGE_AGGREGATE_TOTAL ADV 2018 M04 1680.186
USA T AGE_AGGREGATE_Y15-24 Total 2018 M04 1551.559
USA T AGE_AGGREGATE_Y15-24 LTB 2018 M04 0
USA T AGE_AGGREGATE_Y15-24 BAS 2018 M04 103.042
USA T AGE_AGGREGATE_Y15-24 INT 2018 M04 1282.375
USA T AGE_AGGREGATE_Y15-24 ADV 2018 M04 165.742
USA T AGE_AGGREGATE_Y25-54 Total 2018 M04 3331.521
USA T AGE_AGGREGATE_Y25-54 LTB 2018 M04 0
USA T AGE_AGGREGATE_Y25-54 BAS 2018 M04 155.175
USA T AGE_AGGREGATE_Y25-54 INT 2018 M04 2045.389
USA T AGE_AGGREGATE_Y25-54 ADV 2018 M04 1129.64
USA T AGE_AGGREGATE_Y55-64 Total 2018 M04 784.154
USA T AGE_AGGREGATE_Y55-64 LTB 2018 M04 0
USA T AGE_AGGREGATE_Y55-64 BAS 2018 M04 56.556
USA T AGE_AGGREGATE_Y55-64 INT 2018 M04 462.235
USA T AGE_AGGREGATE_Y55-64 ADV 2018 M04 262.369
USA T AGE_AGGREGATE_YGE65 Total 2018 M04 264.355
USA T AGE_AGGREGATE_YGE65 BAS 2018 M04 16.136
USA T AGE_AGGREGATE_YGE65 INT 2018 M04 125.784
USA T AGE_AGGREGATE_YGE65 ADV 2018 M04 122.435
USA M AGE_AGGREGATE_TOTAL Total 2018 M04 3355.3
USA M AGE_AGGREGATE_TOTAL LTB 2018 M04 0
USA M AGE_AGGREGATE_TOTAL BAS 2018 M04 199.618
USA M AGE_AGGREGATE_TOTAL INT 2018 M04 2274.577
USA M AGE_AGGREGATE_TOTAL ADV 2018 M04 878.069
USA M AGE_AGGREGATE_Y15-24 Total 2018 M04 916.349
USA M AGE_AGGREGATE_Y15-24 LTB 2018 M04 0
USA M AGE_AGGREGATE_Y15-24 BAS 2018 M04 68.922
USA M AGE_AGGREGATE_Y15-24 INT 2018 M04 751.222
USA M AGE_AGGREGATE_Y15-24 ADV 2018 M04 95.805
USA M AGE_AGGREGATE_Y25-54 Total 2018 M04 1814.163
USA M AGE_AGGREGATE_Y25-54 LTB 2018 M04 0
USA M AGE_AGGREGATE_Y25-54 BAS 2018 M04 78.171
USA M AGE_AGGREGATE_Y25-54 INT 2018 M04 1165.38
USA M AGE_AGGREGATE_Y25-54 ADV 2018 M04 570.612
