Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,5
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,-2
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,-5
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,20
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,21
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,1
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,12
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,11
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,-6
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,9
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,6
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,6
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,8
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,0
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,13
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,4
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,2
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,13
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,-1
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,15
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,11
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,14
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,2
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,24
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,-25
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,14
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,-12
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,-6
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,-9
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,28
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-8
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,-7
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,20
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,-14
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,-19
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,-3
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,20
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,16
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,-7
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,-24
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,-15
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,-6
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,13
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,11
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,-17
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,14
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,9
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,-8
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,-6
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,-4
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,-14
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,7
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,6
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,-3
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,0
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,0
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,-7
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,6
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,-27
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,101
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,-15
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,53
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,-40
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,19
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,235
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-55
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,76
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,0
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,-23
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,48
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,137
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,-53
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,3
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,96
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,-34
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,0
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,56
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,15
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,-3
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,19
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,-6
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,-3
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,7
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,32
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,-24
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,-10
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,5
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,34
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,-34
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,134
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,7
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,-30
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,-15
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,82
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,30
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,21
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,-9
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,27
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,12
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,0
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,26
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-6
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,7
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,13
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,17
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,28
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,14
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,30
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,13
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,4
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,34
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,0
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,25
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,12
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,10
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,9
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,5
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,18
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,12
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,4
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,27
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,29
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,2
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,22
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,17
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,0
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,36
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,68
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,16
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,7
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,16
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,-18
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,0
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,-39
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,-10
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,-24
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,1
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,-18
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-61
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,-13
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,11
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,-62
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,-54
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,19
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,-18
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,-21
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,10
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,-40
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,-35
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,11
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,-13
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,-8
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,2
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,-35
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,-5
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,-66
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,-11
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,-7
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,-70
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,-5
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,-5
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,-68
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,-1
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,4
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,-18
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,-61
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,148
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,-1
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,-66
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,-62
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,7
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,160
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,122
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,-18
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-5
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,-6
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,2
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,183
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,142
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,52
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,-18
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,-24
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,-19
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,193
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,115
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,15
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,-24
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,-38
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,40
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,51
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,89
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,-4
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,62
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,17
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,19
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,54
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,-13
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,126
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,-26
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,22
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,10
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,106
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,-14
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,-6
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,20
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,88
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,14
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,-41
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,53
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,29
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,-4
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,14
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,-17
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,26
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,4
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,-35
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,17
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,25
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,-50
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,241
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,102
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,-17
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,-11
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,48
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,16
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,-48
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,-20
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,90
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,24
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,7
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,-9
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,75
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,-25
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,-5
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,20
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,18
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,55
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,4
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,22
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,-36
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,72
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,22
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,23
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,18
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,2
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,21
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,47
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,-46
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,-2
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,124
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,12
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,-3
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,44
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,15
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,-19
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,4
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,18
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,21
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,-5
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,20
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,-8
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,20
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,-60
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,25
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,17
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,-20
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2018,44
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2020,34
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2020,22
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2018,-41
Commercial services exports of selected economies (growth) – monthly,China,World,November,% change over the same period of the previous year,2019,18
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2019,69
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2018,-27
Commercial services exports of selected economies (growth) – monthly,China,World,December,% change over the same period of the previous year,2020,-19
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2019,16
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2018,-24
Commercial services exports of selected economies (growth) – monthly,China,World,January,% change over the same period of the previous year,2020,26
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2019,52
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2018,27
Commercial services exports of selected economies (growth) – monthly,China,World,February,% change over the same period of the previous year,2020,88
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2018,343
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2020,12
Commercial services exports of selected economies (growth) – monthly,China,World,March,% change over the same period of the previous year,2019,57
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2019,-2
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2020,47
Commercial services exports of selected economies (growth) – monthly,China,World,April,% change over the same period of the previous year,2018,6
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2018,46
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2020,49
Commercial services exports of selected economies (growth) – monthly,China,World,May,% change over the same period of the previous year,2019,14
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2019,16
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2018,-1
Commercial services exports of selected economies (growth) – monthly,China,World,June,% change over the same period of the previous year,2020,26
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2020,-3
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2018,25
Commercial services exports of selected economies (growth) – monthly,China,World,July,% change over the same period of the previous year,2019,9
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2019,16
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2018,-4
Commercial services exports of selected economies (growth) – monthly,China,World,August,% change over the same period of the previous year,2020,17
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2020,25
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2018,7
Commercial services exports of selected economies (growth) – monthly,China,World,September,% change over the same period of the previous year,2019,20
Commercial services exports of selected economies (growth) – monthly,China,World,October,% change over the same period of the previous year,2019,2
