Date,Open,High,Low,Close*,Adj Close**,Volume
9/28/20,"27,362.14","27,722.60","27,362.14","27,584.06","27,584.06","4,018,600"
9/25/20,"26,694.51","27,239.29","26,635.38","27,173.96","27,173.96","3,889,000"
9/24/20,"26,716.09","27,094.85","26,537.01","26,815.44","26,815.44","4,478,100"
9/23/20,"27,413.60","27,464.46","26,716.12","26,763.13","26,763.13","4,594,700"
9/22/20,"27,170.34","27,333.09","26,989.93","27,288.18","27,288.18","4,207,200"
9/21/20,"27,484.71","27,484.71","26,715.15","27,147.70","27,147.70","5,236,600"
9/18/20,"27,864.87","27,946.69","27,487.97","27,657.42","27,657.42","6,987,100"
9/17/20,"27,834.18","28,056.79","27,647.93","27,901.98","27,901.98","4,372,300"
9/16/20,"28,031.69","28,364.77","28,021.67","28,032.38","28,032.38","4,166,500"
9/15/20,"28,139.76","28,231.06","27,931.45","27,995.60","27,995.60","4,145,200"
9/14/20,"27,718.74","28,086.06","27,718.74","27,993.33","27,993.33","3,807,500"
9/11/20,"27,613.86","27,828.82","27,448.15","27,665.64","27,665.64","4,353,300"
9/10/20,"28,022.51","28,174.78","27,447.08","27,534.58","27,534.58","4,428,500"
9/9/20,"27,711.71","28,206.21","27,704.54","27,940.47","27,940.47","4,605,900"
9/8/20,"27,925.23","27,925.23","27,464.90","27,500.89","27,500.89","5,808,600"
9/4/20,"28,341.05","28,539.75","27,664.68","28,133.31","28,133.31","6,946,400"
9/3/20,"29,090.70","29,199.35","28,074.76","28,292.73","28,292.73","6,500,800"
9/2/20,"28,736.79","29,162.88","28,713.53","29,100.50","29,100.50","5,395,100"
9/1/20,"28,439.61","28,659.26","28,290.72","28,645.66","28,645.66","4,234,100"
8/31/20,"28,643.66","28,643.66","28,363.55","28,430.05","28,430.05","5,173,200"
8/28/20,"28,601.29","28,733.35","28,487.98","28,653.87","28,653.87","3,697,400"
8/27/20,"28,384.07","28,634.22","28,363.93","28,492.27","28,492.27","4,043,400"
8/26/20,"28,257.88","28,353.80","28,153.91","28,331.92","28,331.92","3,270,700"
8/25/20,"28,347.42","28,400.74","28,094.57","28,248.44","28,248.44","3,384,200"
8/24/20,"28,077.58","28,314.94","28,041.75","28,308.46","28,308.46","3,838,800"
8/21/20,"27,758.13","27,959.48","27,686.78","27,930.33","27,930.33","3,727,200"
8/20/20,"27,622.68","27,781.46","27,526.25","27,739.73","27,739.73","3,045,500"
8/19/20,"27,811.26","27,920.42","27,647.67","27,692.88","27,692.88","3,114,600"
8/18/20,"27,853.48","27,891.12","27,668.79","27,778.07","27,778.07","2,761,700"
