Date,Open,High,Low,Close,Adj Close,Volume
6/18/20,1730.5,1734.09998,1717.30005,1724.80005,1724.80005,110
6/19/20,1723.69995,1750.69995,1723.5,1745.90002,1745.90002,1329
6/22/20,1755.19995,1767.59998,1750.5,1756.69995,1756.69995,1356
6/23/20,1755.40002,1776.30005,1754.19995,1772.09998,1772.09998,666
6/24/20,1778.30005,1783.09998,1764.5,1765.80005,1765.80005,961
6/25/20,1761.69995,1764.80005,1759.80005,1762.09998,1762.09998,207
6/26/20,1766,1772.5,1764.69995,1772.5,1772.5,640
6/29/20,1779.80005,1780.19995,1774.30005,1774.80005,1774.80005,584
6/30/20,1777.30005,1793.19995,1774.40002,1793,1793,986
7/1/20,1793.59998,1798,1765.80005,1773.19995,1773.19995,331
7/2/20,1773.40002,1784,1768.69995,1784,1784,215
7/6/20,1788.19995,1790.09998,1788.19995,1788.5,1788.5,172
7/7/20,1789.30005,1804.19995,1783.30005,1804.19995,1804.19995,751
7/8/20,1801.5,1817.90002,1801.5,1815.5,1815.5,209
7/9/20,1816.09998,1819.80005,1799.19995,1799.19995,1799.19995,396
7/10/20,1805.5,1805.5,1797.69995,1798.19995,1798.19995,236
7/13/20,1805,1811,1805,1811,1811,164
7/14/20,1791,1811.5,1791,1810.59998,1810.59998,339
7/15/20,1806.09998,1813.5,1806.09998,1811.40002,1811.40002,167
7/16/20,1810.90002,1810.90002,1794.30005,1798.69995,1798.69995,146
7/17/20,1798.5,1810.09998,1798.5,1808.30005,1808.30005,24
7/20/20,1807,1817.30005,1807,1815.90002,1815.90002,89
7/21/20,1822,1842.40002,1822,1842.40002,1842.40002,117
7/22/20,1858.09998,1867,1854.69995,1864.09998,1864.09998,213
7/23/20,1868.69995,1890.30005,1868.5,1889.09998,1889.09998,133
7/24/20,1884.30005,1897.30005,1884.30005,1897.30005,1897.30005,474
7/27/20,1901.69995,1938,1901.5,1931,1931,364
7/28/20,1931.5,1944.69995,1928.59998,1944.69995,1944.69995,825
7/29/20,1953.19995,1953.5,1952.59998,1953.5,1953.5,209835
7/30/20,1963.40002,1965.09998,1930,1942.30005,1942.30005,28853
7/31/20,1948.59998,1981.09998,1948,1962.80005,1962.80005,2914
8/3/20,1984.30005,1984.30005,1955.5,1966,1966,683
8/4/20,1971,2016.19995,1968.80005,2001.19995,2001.19995,2010
8/5/20,2024,2050.19995,2011,2031.09998,2031.09998,1422
8/6/20,2045.5,2063,2040,2051.5,2051.5,294
8/7/20,2040.09998,2055,2009.59998,2010.09998,2010.09998,808
8/10/20,2026.40002,2043.80005,2017.5,2024.40002,2024.40002,233
8/11/20,2012.40002,2016,1904,1932.59998,1932.59998,971
8/12/20,1923,1946.59998,1871.59998,1934.90002,1934.90002,404
8/13/20,1921.5,1957.40002,1916.90002,1956.69995,1956.69995,71
8/14/20,1938.69995,1947.40002,1937,1937,1937,201
8/17/20,1949.59998,1985,1949.59998,1985,1985,97
8/18/20,2001.09998,2002.80005,1972.09998,1999.40002,1999.40002,92
8/19/20,1980,1980,1938.69995,1958.69995,1958.69995,347
8/20/20,1941.19995,1948.30005,1922.30005,1933.80005,1933.80005,106
8/21/20,1941,1945,1908.90002,1934.59998,1934.59998,184
8/24/20,1930.19995,1940,1922.19995,1927.69995,1927.69995,85
8/25/20,1927.5,1928.5,1911.80005,1911.80005,1911.80005,176
8/26/20,1909.69995,1950.80005,1909.69995,1940.69995,1940.69995,287
8/27/20,1948.90002,1972.5,1921.59998,1921.59998,1921.59998,2303
8/28/20,1927.09998,1971.30005,1922.5,1964.59998,1964.59998,778
8/31/20,1970,1971.30005,1953.30005,1967.59998,1967.59998,158
9/1/20,1961.69995,1986.30005,1961.69995,1968.19995,1968.19995,186
9/2/20,1967.30005,1967.30005,1934.40002,1934.40002,1934.40002,71
9/3/20,1937.09998,1938.80005,1923,1927.59998,1927.59998,179
9/4/20,1927.90002,1939.69995,1917.69995,1923.90002,1923.90002,607
9/8/20,1930.90002,1937.90002,1903.09998,1933,1933,271
9/9/20,1926.90002,1946.19995,1924.59998,1944.69995,1944.69995,219
9/10/20,1944.09998,1962.69995,1944.09998,1954.19995,1954.19995,722
9/11/20,1944,1949.5,1937.80005,1937.80005,1937.80005,73
9/14/20,1946.30005,1953.09998,1943,1953.09998,1953.09998,55
9/15/20,1955.80005,1968.5,1955.80005,1956.30005,1956.30005,74
9/16/20,1961.30005,1961.40002,1956.69995,1960.19995,1960.19995,124
9/17/20,1939,1946,1933.69995,1940,1940,67
